Periodo,From,To,Monto
2011,Endeudamiento,Tesoreria,3686009
2011,Impuesta a la Renta,Tesoreria,14445475
2011,Impuestos Productos Especificos,Tesoreria,2625299
2011,IVA,Tesoreria,11336239
2011,Otros,Tesoreria,2244544
2011,Otros Impuestos,Tesoreria,639921
2011,Venta o Rescate de Titulos y Valores,Tesoreria,33
2012,Devolucion y Credito de Impuestos,Tesoreria,-3338122
2012,Endeudamiento,Tesoreria,3403670
2012,Impuesta a la Renta,Tesoreria,14964793
2012,Impuestos Productos Especificos,Tesoreria,2707514
2012,IVA,Tesoreria,11726792
2012,Otros,Tesoreria,2037142
2012,Otros Impuestos,Tesoreria,710753
2012,Venta o Rescate de Titulos y Valores,Tesoreria,705002
2013,Devolucion y Credito de Impuestos,Tesoreria,-1748735
2013,Endeudamiento,Tesoreria,3476340
2013,Impuesta a la Renta,Tesoreria,13421933
2013,Impuestos Productos Especificos,Tesoreria,2298305
2013,IVA,Tesoreria,13109492
2013,Otros,Tesoreria,4668868
2013,Otros Impuestos,Tesoreria,660402
2013,Venta o Rescate de Titulos y Valores,Tesoreria,3060046
2014,Devolucion y Credito de Impuestos,Tesoreria,-1376131
2014,Endeudamiento,Tesoreria,3486103
2014,Impuesta a la Renta,Tesoreria,12678924
2014,Impuestos Productos Especificos,Tesoreria,2333734
2014,IVA,Tesoreria,13433805
2014,Otros,Tesoreria,2643796
2014,Otros Impuestos,Tesoreria,671623
2014,Venta o Rescate de Titulos y Valores,Tesoreria,1806026
2015,Devolucion y Credito de Impuestos,Tesoreria,-278444
2015,Endeudamiento,Tesoreria,4679171
2015,Impuesta a la Renta,Tesoreria,12769238
2015,Impuestos Productos Especificos,Tesoreria,2650963
2015,IVA,Tesoreria,13361301
2015,Otros,Tesoreria,2389045
2015,Otros Impuestos,Tesoreria,696649
2015,Venta o Rescate de Titulos y Valores,Tesoreria,2318623
2016,Devolucion y Credito de Impuestos,Tesoreria,-526662
2016,Endeudamiento,Tesoreria,6458582
2016,Impuesta a la Renta,Tesoreria,12490469
2016,Impuestos Productos Especificos,Tesoreria,2684618
2016,IVA,Tesoreria,13933910
2016,Otros,Tesoreria,2653272
2016,Otros Impuestos,Tesoreria,686953
2016,Venta o Rescate de Titulos y Valores,Tesoreria,2627587
2017,Devolucion y Credito de Impuestos,Tesoreria,-2357813
2017,Endeudamiento,Tesoreria,6444909
2017,Impuesta a la Renta,Tesoreria,13481917
2017,Impuestos Productos Especificos,Tesoreria,2747407
2017,IVA,Tesoreria,15498034
2017,Otros,Tesoreria,3344635
2017,Otros Impuestos,Tesoreria,725143
2017,Venta o Rescate de Titulos y Valores,Tesoreria,3207148
